ano,id_municipio,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
2021,2709103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1301001,20539.44,0.0,15272.36,35811.8,0.0,0.0,35811.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1600600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2904852,46530.55,1580.0,33065.96,81270.89,0.0,0.0,81270.89,,,,,,,,,,,,,,
2021,2916401,370886.81,0.0,0.0,,,,370886.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2019,2917508,1005994.6,15618370.98,0.0,12346105.7,6668519.75,2043387.46,21058012.91,,,,,,,,,,,,,,
2020,2923357,101292.32,0.0,25951.53,127319.62,0.0,0.0,127319.62,,,,,,,,,,,,,,
2020,2926301,383218.81,0.0,87231.49,470704.98,0.0,0.0,470704.98,,,,,,,,,,,,,,
2021,2927606,121846.73,17670.81,17784.01,157301.55,0.0,0.0,157301.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2932457,120535.42,927.16,6902.24,128364.82,0.0,0.0,128364.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2932903,0.0,0.0,107416.09,107416.09,0.0,0.0,107416.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2304236,1446.55,23917.3,0.0,25363.85,0.0,0.0,25363.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2308401,68894.13,0.0,0.0,68894.13,0.0,0.0,68894.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2309607,189391.52,0.0,0.0,189391.52,0.0,0.0,189391.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2313252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2314102,71605.34,1507890.24,0.0,868146.24,0.0,711349.34,1579495.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3201100,104860.08,125618.59,189767.31,420245.98,,,420245.98,,,,,,,,,,,,,,
2020,3202702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64013.72,0.0,0.0,0.0,64013.72,64013.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3202900,,,,,,,,283257.76,0.0,0.0,0.0,0.0,283257.76,283257.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3204559,159713.91,5716557.69,177056.87,6053328.47,,,6053328.47,,,,,,,,,,,,,,
2020,3204708,86294.88,1090866.03,338731.79,1515892.7,,,1515892.7,,,,,,,,,,,,,,
2020,3204807,34050.44,700790.63,129595.69,864436.76,,,864436.76,21600.0,32400.0,0.0,54000.0,0.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3205150,207135.7,0.0,61127.62,268263.32,,,268263.32,374672.04,0.0,0.0,200722.04,0.0,173950.0,374672.04,,,,,,,
2019,5205109,0.0,0.0,772550.25,,,,772550.25,,,0.0,772550.25,0.0,0.0,772550.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,5209101,114778.8,2365.07,0.0,124313.74,,0.0,124313.74,,,,,,,,,,,,,,
2019,5211206,23136.54,1548858.46,0.0,1995199.71,,0.0,1995199.71,,,,,,,,,,,,,,
2020,5212204,412849.49,8703.76,0.0,424609.77,,0.0,424609.77,,,,,,,,,,,,,,
2021,5213756,47557.42,254.9,0.0,,47812.32,0.0,47812.32,,,,,,,,,,,,,,
2021,5221197,10578.28,7984.15,6161.19,,24723.62,0.0,24723.62,,,,,,,,,,,,,,
2019,3104205,391721.93,0.0,214719.54,624123.62,0.0,0.0,624123.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3104601,74902.31,0.0,119184.44,61016.1,149124.96,0.0,210141.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3112000,117985.68,0.0,64673.0,185040.5,0.0,0.0,185040.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3117207,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3117702,122796.41,0.0,39825.69,150314.45,12307.65,0.0,162622.1,0.0,0.0,0.0,0.0,0.0,0.0,95000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3120409,20430.55,18586.25,34487.79,14433.94,65150.74,0.0,79584.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3122504,45516.79,7465.81,14630.69,67564.8,48.49,0.0,67613.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3123601,24122.72,0.0,18287.0,42409.72,0.0,0.0,42409.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3123908,116327.45,12856.96,36497.68,165559.87,122.22,0.0,165682.09,75220.0,2033776.71,0.0,0.0,0.0,0.0,2108996.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3126752,16385.95,0.0,20608.92,9672.29,30382.69,0.0,40054.98,60271.13,0.0,0.0,0.0,0.0,0.0,60271.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3128105,57328.31,2020.0,12545.65,71893.96,0.0,0.0,71893.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3131000,,,,,,,,90000.0,50000.0,50000.0,96000.0,0.0,,190000.0,0.0,,,,,,
2021,3131158,366042.85,0.0,131518.64,83926.88,454791.49,0.0,538718.37,0.0,28100.0,0.0,28100.0,0.0,0.0,28100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3131505,71687.24,44538.76,23229.8,122956.24,16499.56,0.0,139455.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3131505,68919.74,54768.11,37777.86,121381.55,48978.64,0.0,170360.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3132206,99032.52,11016.95,10809.0,120858.47,0.0,0.0,120858.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3132206,145325.23,9228.17,22052.96,176606.36,0.0,0.0,176606.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3132909,110016.07,0.0,31882.74,127234.36,14664.45,0.0,141898.81,0.0,7239.5,0.0,7239.5,0.0,0.0,7239.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
